46
133,126
137,49
21,35
22,42
20,24
20,64
56,64
43,56
132,133
131,132
20,33
22,30
135,146
122,136
128,151
149,128
133,149
117,141
141,140
140,139
151,121
151,142
151,120
136,137
130,151
132,130
136,51
51,50
51,60
51,25
49,50
49,60
49,25
51,48
47,43
48,47
146,152
122,152
134,55
55,51
135,41
41,62
18,16
232,51
232,28
232,29
48
16,CLDN24
18,CLDN24
20,CDH5
21,CD99
22,PECAM1
24,CTNND1
25,BCAR1
28,MLLT4
29,SIPA1
30,PECAM1
33,CDH5
35,CD99
41,
42,CTNNB1
43,ACTB
47,MYL12B
48,ROCK1
49,PRKACA,PRKCA
50,PTK2
51,RHOA
55,ARHGAP35
56,CTNNA1
60,PXN
62,RAC1
64,CTNNB1
117,VAV3
120,RAC1
121,RAC2
122,MSN
126,RAPGEF3
128,ITK
130,PTK2B
131,CXCL12
132,CXCR4,LAP3
133,GNAI1
134,THY1
135,VCAM1
136,ICAM1
137,PLCG1
139,MYL12B
140,ROCK1
141,RHOA
142,CDC42
146,MSN
149,
151,VAV3
152,ACTB
232,RAP1A
